OBJECTID,lat,long,monthave,date,site,name,month,day,year,dateorig,doy
164,39.0824,-96.5603,0.077211052,2010-11-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),11,15,2010,11/15/2010 0:00,319
165,39.0824,-96.5603,0.04332811,2010-12-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),12,15,2010,12/15/2010 0:00,349
166,39.0824,-96.5603,0.029548904,2011-2-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),2,15,2011,2/15/2011 0:00,46
167,39.0824,-96.5603,0.292233437,2011-4-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),4,15,2011,4/15/2011 0:00,105
168,39.0824,-96.5603,0.592137575,2011-5-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),5,15,2011,5/15/2011 0:00,135
169,39.0824,-96.5603,0.592891037,2011-6-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),6,15,2011,6/15/2011 0:00,166
170,39.0824,-96.5603,0.712944627,2011-7-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),7,15,2011,7/15/2011 0:00,196
171,39.0824,-96.5603,0.673111618,2011-8-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),8,15,2011,8/15/2011 0:00,227
172,39.0824,-96.5603,0.343400598,2011-9-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),9,15,2011,9/15/2011 0:00,258
173,39.0824,-96.5603,0.079395346,2011-10-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),10,15,2011,10/15/2011 0:00,288
174,39.0824,-96.5603,0.077072807,2011-11-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),11,15,2011,11/15/2011 0:00,319
175,39.0824,-96.5603,0.054936904,2012-1-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),1,15,2012,1/15/2012 0:00,15
176,39.0824,-96.5603,0.120278463,2012-2-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),2,15,2012,2/15/2012 0:00,46
177,39.0824,-96.5603,0.164713219,2012-3-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),3,15,2012,3/15/2012 0:00,75
178,39.0824,-96.5603,0.484370053,2012-4-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),4,15,2012,4/15/2012 0:00,106
179,39.0824,-96.5603,0.435676932,2012-5-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),5,15,2012,5/15/2012 0:00,136
180,39.0824,-96.5603,0.537938774,2012-6-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),6,15,2012,6/15/2012 0:00,167
181,39.0824,-96.5603,0.448407382,2012-7-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (),7,15,2012,7/15/2012 0:00,197
